ID,AreaID,DiseaseID
1,1,00600
2,2,00600
31,22,00700
32,22,00704
33,23,00700
34,23,00704
35,24,00700
36,24,00704
37,25,00600
38,26,00600
39,27,00600
40,28,00600
41,29,00600
42,30,00600
43,31,00600
44,32,00600
45,33,00600
46,34,00600
47,35,00600
48,36,00600
49,37,00600
50,38,00600
51,39,00600
52,40,00600
53,41,00600
54,42,00600
55,43,00600
56,44,00600
57,45,00600
58,46,00600
59,47,00600
60,48,00600
61,49,00600
62,50,00600
63,51,00600
64,52,00600
1517,1002,00700
1518,1002,00704
1519,1003,00700
1520,1003,00704
1521,1004,00600
1522,1005,00600
1523,1006,00600
1524,1007,00600
1525,1008,00600
1526,1009,00600
1527,1010,00600
1976,1381,00700
1977,1381,00704
1978,1382,00600
1979,1383,00600
1980,1384,00600
1981,1385,00600
1982,1386,00600
1983,1387,00600
1984,1388,00600
1985,1389,00600
1986,1390,00600
1987,1391,00600
1988,1392,00600
2564,1882,20100
9620,6258,00700
9621,6258,00704
9622,6259,00700
9623,6259,00704
9624,6260,00600
13742,7806,10100
13743,7806,10101
13744,7807,10100
13745,7807,10101
13746,7808,10100
13747,7808,10101
13748,7809,10100
13749,7809,10101
13750,7810,10100
13751,7810,10101
13752,7811,10100
13753,7811,10101
13769,7815,20100
13770,7815,20101
13771,7815,20105
13772,7815,20121
13773,7815,20141
13774,7816,20100
13775,7816,20101
13776,7816,20105
13777,7816,20120
13778,7816,20141
13779,7817,10200
13780,7817,10202
13781,7817,10206
13788,7820,30100
13789,7820,30102
13790,7821,30100
13791,7821,30102
13792,7822,30100
13793,7822,30102
13794,7823,10300
13795,7824,10300
18146,9187,00700
18147,9187,00704
18148,9188,00700
18149,9188,00704
18150,9189,00700
18151,9189,00704
18627,9480,00700
18628,9480,00704
20175,10108,00700
20176,10108,00703
20177,10108,40101
20178,10109,00700
20179,10109,00704
20180,10109,40101
20181,10110,00700
20182,10110,00704
20183,10110,40101
24270,11071,00700
24271,11071,00704
24272,11080,00700
24273,11080,00704
25206,12592,00600
28614,12602,00600
28615,12602,00601
29052,14693,10300
29053,12596,00600
29054,12596,00601
29055,12599,00600
29056,12599,00601
29057,12611,00600
29058,12611,00601
29611,14942,20100
29612,14942,30100
29613,14942,30102
29614,14942,40101
29615,14943,20100
29616,14943,30100
29617,14943,30102
29618,14943,40101
29619,14944,20100
29620,14944,30100
29621,14944,30102
29622,14944,40101
29623,14945,30100
29624,14945,30102
29625,14945,40101
29626,14946,30100
29627,14946,30102
29628,14946,40101
29629,14947,30100
29630,14947,30102
29631,14947,40101
29632,14948,30100
29633,14948,30102
29634,14948,40101
29635,14949,30100
29636,14949,30102
29637,14949,40101
29638,14950,30100
29639,14950,30102
29640,14950,40101
29641,14951,30100
29642,14951,30102
29643,14952,30100
29644,14952,30102
29645,14953,30100
29646,14953,30102
29647,14954,30100
29648,14954,30102
29649,14955,30100
29650,14955,30102
29651,14956,30100
29652,14956,30102
29653,14957,30100
29654,14957,30102
30295,15181,10300
30296,15181,10301
30297,15181,40101
30298,15181,00400
30299,15182,00400
30300,15182,10300
30301,15182,10301
30302,15183,00400
30303,15184,00400
30304,15184,10300
30305,15184,10301
31201,15377,00400
31202,15377,40101
31203,15378,00400
31204,15378,40101
31205,15379,00600
31206,15380,00600
31207,15380,40101
31208,15381,00400
31209,15381,40100
31210,15382,00300
31211,15382,00301
31212,15383,00300
31213,15383,00301
31214,15384,00600
31215,15385,00400
32465,15657,00600
32466,15657,40101
38009,16997,20800
38010,16997,20803
38011,16997,20121
38012,16997,20141
38013,16997,20172
38014,16996,20800
38015,16996,20803
38016,16996,20121
38017,16996,20141
38018,16996,20172
38019,16998,20800
38020,16998,30100
38021,16998,30102
38022,16998,20172
38023,16998,20804
38024,16998,20805
38025,16999,20800
38026,16999,30100
38027,16999,30102
38028,16999,20172
38029,16999,20804
38030,16999,20805
38049,17000,20800
38050,17000,20121
38051,17000,20141
38052,17000,20172
38053,17001,20800
38054,17001,20121
38055,17001,20141
38056,17001,20172
38063,17003,20800
38064,17003,30100
38065,17003,30102
38066,17003,20172
38067,17003,20803
38068,17003,20804
38069,17003,20805
38070,17004,20800
38071,17004,30100
38072,17004,30102
38073,17004,20172
38074,17004,20803
38075,17004,20804
38076,17004,20805
38077,17005,20800
38078,17005,20172
38079,17005,20803
38080,17005,20121
38081,17005,20141
38082,17006,20800
38083,17006,20172
38084,17006,20803
38085,17006,20121
38086,17006,20141
38087,17007,20800
38088,17007,20172
38089,17007,20803
38090,17007,20121
38091,17007,20141
38092,17008,20800
38093,17008,20172
38094,17008,20803
38095,17008,20121
38096,17008,20141
38097,17009,20800
38098,17009,20172
38099,17009,20803
38100,17009,20121
38101,17009,20141
38107,17010,20800
38108,17010,20172
38109,17010,20803
38110,17010,20121
38111,17010,20141
38127,17002,20800
38128,17002,20122
38129,17002,20803
38130,17002,20142
39365,17510,20800
39366,17510,20172
39367,17510,20120
39368,17510,20121
39369,17510,20142
39370,17511,20800
39371,17511,20172
39372,17511,20120
39373,17511,20121
39374,17511,20142
39380,17513,30100
39381,17513,30101
39382,17513,10300
39383,17513,10302
39384,17513,00300
39385,17514,30100
39386,17514,30101
39387,17514,10300
39388,17514,10302
39389,17514,00300
39390,17512,30100
39391,17512,30101
39392,17512,10300
39393,17512,10302
39394,17512,00300
39395,17515,30100
39396,17515,30101
39397,17516,30100
39398,17516,30101
39399,17517,30100
39400,17517,30101
39406,17518,20800
39407,17518,20172
39408,17518,20173
39409,17518,20121
39410,17518,20141
39411,17519,20800
39412,17519,20172
39413,17519,20173
39414,17519,20121
39415,17519,20141
39416,17520,20800
39417,17520,20172
39418,17520,20173
39419,17520,20121
39420,17520,20141
39421,17521,20800
39422,17521,20172
39423,17521,20173
39424,17521,20121
39425,17521,20141
39426,17522,30100
39427,17522,30101
39428,17523,30100
39429,17523,30101
39430,17524,30100
39431,17524,30101
39432,17525,30100
39433,17525,30101
39434,17526,30100
39435,17526,30101
39436,17527,30100
39437,17527,30101
39438,17528,20800
39439,17528,20172
39440,17528,20803
39441,17528,20121
39442,17528,20122
39443,17528,20141
39444,17529,20800
39445,17529,20172
39446,17529,20803
39447,17529,20121
39448,17529,20122
39449,17529,20141
39450,17530,20800
39451,17530,20172
39452,17530,20803
39453,17530,20121
39454,17530,20122
39455,17530,20141
39868,17606,10100
39869,17606,10101
39870,17607,10100
39871,17607,10101
39872,17608,10100
39873,17608,10101
39874,17609,10100
39875,17609,10101
39876,17610,10100
39877,17610,10101
39878,17611,10100
39879,17611,10101
39880,17612,10100
39881,17612,10101
39882,17613,10100
39883,17613,10101
39884,17614,10100
39885,17614,10101
39886,17615,10100
39887,17615,10101
39888,17616,10100
39889,17616,10101
39890,17617,10100
39891,17617,10101
39892,17618,10100
39893,17618,10101
39894,17619,20800
39895,17619,20173
39896,17619,20804
39897,17620,20800
39898,17620,20173
39899,17620,20804
39900,17621,20800
39901,17621,20173
39902,17621,20804
39903,17621,20121
39904,17621,20125
39905,17622,20800
39906,17622,20173
39907,17622,20804
39908,17622,20121
39909,17622,20125
39910,17623,20800
39911,17623,20173
39912,17623,20804
39913,17623,20121
39914,17623,20125
39915,17624,20800
39916,17624,20173
39917,17624,20804
39918,17624,20121
39919,17624,20125
39920,17625,20800
39921,17625,20173
39922,17625,20804
39923,17625,20121
39924,17625,20125
39925,17626,20800
39926,17626,20173
39927,17626,20804
39928,17626,20121
39929,17626,20125
39930,17627,20800
39931,17627,20173
39932,17627,20804
39933,17627,20121
39934,17627,20125
39935,17628,20800
39936,17628,20173
39937,17628,20804
39938,17628,20121
39939,17628,20125
39940,17629,20800
39941,17629,20173
39942,17629,20804
39943,17629,20121
39944,17629,20125
39945,17630,20800
39946,17630,20173
39947,17630,20804
39948,17630,20121
39949,17630,20125
39950,17631,20800
39951,17631,20173
39952,17631,20804
39953,17631,20121
39954,17631,20125
39955,17632,20800
39956,17632,20173
39957,17632,20804
39958,17632,20121
39959,17632,20125
39960,17633,20800
39961,17633,20172
39962,17633,20803
43163,18479,20800
43164,18479,20172
43165,18479,20120
43166,18479,20142
43167,18480,20800
